"p_val","avg_logFC","pct.1","pct.2","p_val_adj","type","gene"
"SERF2",2.96549468814192e-27,0.422785493223323,0.939,0.915,9.94063474412052e-23,"NK","SERF2"
"TXK",4.26122916748651e-27,0.76613954731422,0.417,0.19,1.42840662923315e-22,"NK","TXK"
"RHOC",4.77403615785471e-27,0.741332571495341,0.411,0.178,1.60030466047448e-22,"NK","RHOC"
"C1orf162",8.15383473614372e-27,0.760779334993734,0.375,0.151,2.73324694190274e-22,"NK","C1orf162"
"MYL12A",8.42619393759567e-27,0.387467772857855,0.964,0.947,2.82454446982145e-22,"NK","MYL12A"
"EIF3E",1.44607278544611e-26,-0.63447448357859,0.521,0.793,4.84738058409392e-22,"NK","EIF3E"
"AC090498.1",1.73233376846252e-26,-0.417390169200659,0.783,0.953,5.8069560252632e-22,"NK","AC090498.1"
"UBB",1.75967514246849e-26,0.498077400753807,0.867,0.782,5.89860704506861e-22,"NK","UBB"
"CFL1",8.78718803001341e-26,0.410532000712724,0.951,0.931,2.94555329954079e-21,"NK","CFL1"
"MBP1",1.09673418892248e-25,0.734455274446543,0.508,0.282,3.67636267468706e-21,"NK","MBP"
"IFITM1",1.60430642426299e-25,0.628514423665532,0.722,0.586,5.37779556477195e-21,"NK","IFITM1"
"LDHB",4.07159036619518e-25,-0.696531623585698,0.285,0.638,1.36483780665229e-20,"NK","LDHB"
"RPS10",1.09227414646085e-24,-0.332172163250998,0.939,0.976,3.66141216635142e-20,"NK","RPS10"
"MYO1F",1.24042064970322e-24,0.587538427541585,0.693,0.512,4.15801405987017e-20,"NK","MYO1F"
"CTSD",1.64939448857643e-24,0.709058198742619,0.388,0.175,5.52893526515707e-20,"NK","CTSD"
"HLA-A",2.8736259976107e-24,0.293858400189753,0.997,0.993,9.63268170659081e-20,"NK","HLA-A"
"NCR1",1.23533652514698e-23,0.493729358169993,0.152,0.025,4.14097156594519e-19,"NK","NCR1"
"CD63",2.47695829038595e-23,0.696877872915372,0.534,0.325,8.30301188520274e-19,"NK","CD63"
"NPM1",4.26024526289625e-23,-0.530827117779717,0.498,0.808,1.42807681457545e-18,"NK","NPM1"
"CD27",5.84156186065795e-23,-0.750604612341457,0.045,0.332,1.95814995131115e-18,"NK","CD27"
"RPL23",8.861821020565e-23,-0.398395733965834,0.79,0.947,2.97057102430359e-18,"NK","RPL23"
"KLRC11",1.55370798672049e-22,0.736535246987823,0.262,0.08,5.20818454228574e-18,"NK","KLRC1"
"PLEK1",2.15584364374124e-22,0.666009286894098,0.479,0.259,7.22660347818499e-18,"NK","PLEK"
"HIPK2",4.64191893740261e-22,0.525807022871338,0.155,0.03,1.55601764700673e-17,"NK","HIPK2"
"MT-ND2",1.06853897427049e-21,-0.304617867048343,0.994,0.998,3.58184949565211e-17,"NK","MT-ND2"
"FGR1",2.72058740081224e-21,0.609359719452073,0.301,0.114,9.11968102626272e-17,"NK","FGR"
"GZMH1",4.37473664537145e-21,0.474004681865964,0.66,0.401,1.46645547089496e-16,"NK","GZMH"
